grid_id,lat,lon,data_g,num_farmers,include,area
167,22.155,71.235,,4,1,6.27
168,22.155,71.245,,0,1,15.7
169,22.155,71.255,,0,1,15.7
170,22.155,71.265,,0,1,15.7
171,22.155,71.275,,0,1,15.7
172,22.155,71.285,,0,1,15.7
173,22.155,71.295,,0,1,15.7
174,22.155,71.305,,0,1,15.7
175,22.155,71.315,,0,0,15.7
176,22.145,70.885,,0,0,15.7
177,22.145,70.895,,0,0,15.7
178,22.145,70.905,,0,0,15.7
179,22.145,70.915,,0,0,15.7
180,22.145,70.925,,0,0,15.7
181,22.145,70.935,,0,0,15.7
182,22.145,70.945,,0,0,15.7
183,22.145,70.955,,6,1,10.42
184,22.145,70.965,,16,1,29.33
185,22.145,70.975,,34,1,67.06
186,22.145,70.985,,25,1,48.82
187,22.145,70.995,,34,1,67.06
188,22.145,71.005,,39,1,79.03
189,22.145,71.015,,38,1,77.58
190,22.145,71.025,,39,1,79.03
191,22.145,71.035,,37,1,76.91
192,22.145,71.045,,33,1,65.61
193,22.145,71.055,,23,1,45.45
194,22.145,71.065,,19,1,39.18
195,22.145,71.075,,12,1,23.06
196,22.145,71.085,,10,1,20.94
197,22.145,71.095,,4,1,6.27
198,22.145,71.105,,4,1,6.27
199,22.145,71.115,,7,1,11.09
200,22.145,71.125,,20,1,39.85
201,22.145,71.135,,30,1,60.79
202,22.145,71.145,,30,1,60.79
203,22.145,71.155,,34,1,67.06
204,22.145,71.165,,36,1,74.21
205,22.145,71.175,,34,1,67.06
206,22.145,71.185,,38,1,77.58
207,22.145,71.195,,34,1,67.06
208,22.145,71.205,,34,1,67.06
209,22.145,71.215,,38,1,77.58
210,22.145,71.225,,34,1,67.06
211,22.145,71.235,,12,1,23.06
212,22.145,71.245,,0,1,15.7
213,22.145,71.255,,0,1,15.7
214,22.145,71.265,,0,1,15.7
215,22.145,71.275,,0,1,15.7
216,22.145,71.285,,1,1,1.45
217,22.145,71.295,,1,1,1.45
218,22.145,71.305,,1,1,1.45
219,22.145,71.315,,0,0,15.7
220,22.135,70.885,,0,0,15.7
221,22.135,70.895,,0,0,15.7
222,22.135,70.905,,0,0,15.7
223,22.135,70.915,,0,0,15.7
224,22.135,70.925,,0,0,15.7
225,22.135,70.935,,0,0,15.7
226,22.135,70.945,,1,1,1.45
227,22.135,70.955,,18,1,37.73
228,22.135,70.965,,31,1,62.24
229,22.135,70.975,,27,1,55.97
230,22.135,70.985,,24,1,46.12
231,22.135,70.995,,34,1,67.06
232,22.135,71.005,,39,1,79.03
233,22.135,71.015,,39,1,79.03
234,22.135,71.025,,39,1,79.03
235,22.135,71.035,,39,1,79.03
236,22.135,71.045,,27,1,55.97
237,22.135,71.055,,27,1,55.97
238,22.135,71.065,,33,1,65.61
239,22.135,71.075,,25,1,48.82
240,22.135,71.085,,22,1,44
241,22.135,71.095,,19,1,39.18
242,22.135,71.105,,12,1,23.06
243,22.135,71.115,,16,1,29.33
244,22.135,71.125,,20,1,39.85
245,22.135,71.135,,22,1,44
246,22.135,71.145,,34,1,67.06
247,22.135,71.155,,36,1,74.21
248,22.135,71.165,,34,1,67.06
249,22.135,71.175,,30,1,60.79
250,22.135,71.185,,34,1,67.06
251,22.135,71.195,,38,1,77.58
252,22.135,71.205,,40,1,81.73
253,22.135,71.215,,38,1,77.58
254,22.135,71.225,,33,1,65.61
255,22.135,71.235,,16,1,29.33
256,22.135,71.245,,3,1,4.82
257,22.135,71.255,,1,1,1.45
258,22.135,71.265,,1,1,1.45
259,22.135,71.275,,4,1,6.27
260,22.135,71.285,,14,1,27.21
261,22.135,71.295,,19,1,39.18
262,22.135,71.305,,14,1,27.21
263,22.135,71.315,,14,1,27.21
264,22.125,70.885,,0,0,15.7
265,22.125,70.895,,0,0,15.7
266,22.125,70.905,,0,0,15.7
267,22.125,70.915,,0,0,15.7
268,22.125,70.925,,0,0,15.7
269,22.125,70.935,,0,0,15.7
270,22.125,70.945,,4,1,6.27
271,22.125,70.955,,24,1,46.12
272,22.125,70.965,,34,1,67.06
273,22.125,70.975,,30,1,60.79
274,22.125,70.985,,38,1,77.58
275,22.125,70.995,,42,1,83.85
276,22.125,71.005,,42,1,83.85
277,22.125,71.015,,42,1,83.85
278,22.125,71.025,,42,1,83.85
279,22.125,71.035,,42,1,83.85
280,22.125,71.045,,33,1,65.61
281,22.125,71.055,,31,1,62.24
282,22.125,71.065,,33,1,65.61
283,22.125,71.075,,22,1,44
284,22.125,71.085,,23,1,45.45
285,22.125,71.095,,24,1,46.12
286,22.125,71.105,,16,1,29.33
287,22.125,71.115,,19,1,39.18
288,22.125,71.125,,18,1,37.73
289,22.125,71.135,,15,1,27.88
290,22.125,71.145,,31,1,62.24
291,22.125,71.155,,33,1,65.61
292,22.125,71.165,,31,1,62.24
293,22.125,71.175,,31,1,62.24
294,22.125,71.185,,38,1,77.58
295,22.125,71.195,,34,1,67.06
296,22.125,71.205,,39,1,79.03
297,22.125,71.215,,39,1,79.03
298,22.125,71.225,,31,1,62.24
299,22.125,71.235,,16,1,29.33
300,22.125,71.245,,14,1,27.21
301,22.125,71.255,,12,1,23.06
302,22.125,71.265,,20,1,39.85
303,22.125,71.275,,31,1,62.24
304,22.125,71.285,,38,1,77.58
305,22.125,71.295,,41,1,82.4
306,22.125,71.305,,34,1,67.06
307,22.125,71.315,,14,1,27.21
308,22.115,70.885,,0,0,15.7
309,22.115,70.895,,0,0,15.7
310,22.115,70.905,,0,0,15.7
311,22.115,70.915,,0,0,15.7
312,22.115,70.925,,0,0,15.7
313,22.115,70.935,,0,0,15.7
314,22.115,70.945,,3,1,4.82
315,22.115,70.955,,28,1,56.64
316,22.115,70.965,,39,1,79.03
317,22.115,70.975,,38,1,77.58
318,22.115,70.985,,38,1,77.58
319,22.115,70.995,,42,1,83.85
